name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name
VENDOR_CHAIN_STATUS,VARCHAR(6),COLUMN,Y,,N,N,,,,
IS_FIXTURES_AND_FITTINGS_COMPLETED,VARCHAR(6),COLUMN,Y,,N,N,,,,
FIXTURES_AND_FITTINGS_COMPLETED_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_TO_FIXTURES_AND_FITTINGS_COMPLETED,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
IS_DEEDS_REQUESTED,VARCHAR(6),COLUMN,Y,,N,N,,,,
DEEDS_REQUESTED_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_TO_DEEDS_REQUESTED,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
IS_DEEDS_RECEIVED,VARCHAR(6),COLUMN,Y,,N,N,,,,
DEEDS_RECEIVED_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_TO_DEEDS_RECEIVED,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
IS_CONTRACT_SENT,VARCHAR(6),COLUMN,Y,,N,N,,,,
CONTRACT_SENT_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_TO_CONTRACT_SENT,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
IS_CONTRACT_RECEIVED,VARCHAR(6),COLUMN,Y,,N,N,,,,
CONTRACT_RECEIVED_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_TO_CONTRACT_RECEIVED,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
IS_CONTRACT_APPROVED,VARCHAR(6),COLUMN,Y,,N,N,,,,
CONTRACT_APPROVED_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_TO_CONTRACT_APPROVED,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
IS_CONTRACT_SIGNED_BY_VENDOR,VARCHAR(6),COLUMN,Y,,N,N,,,,
CONTRACT_SIGNED_BY_VENDOR_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_TO_CONTRACT_SIGNED_BY_VENDOR,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
IS_CONTRACT_SIGNED_BY_BUYER,VARCHAR(6),COLUMN,Y,,N,N,,,,
CONTRACT_SIGNED_BY_BUYER_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_TO_CONTRACT_SIGNED_BY_BUYER,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
IS_ENQUIRIES_SENT,VARCHAR(6),COLUMN,Y,,N,N,,,,
ENQUIRIES_SENT_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_TO_ENQUIRIES_SENT,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
IS_ENQUIRIES_ANSWERED,VARCHAR(6),COLUMN,Y,,N,N,,,,
ENQUIRIES_ANSWERED_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_TO_ENQUIRIES_ANSWERED,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
IS_SEARCHES_PAID,VARCHAR(6),COLUMN,Y,,N,N,,,,
SEARCHES_PAID_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_TO_SEARCHES_PAID,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
IS_SEARCHES_APPLIED,VARCHAR(6),COLUMN,Y,,N,N,,,,
SEARCHES_APPLIED_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_TO_SEARCHES_APPLIED,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
IS_SEARCHES_RECEIVED,VARCHAR(6),COLUMN,Y,,N,N,,,,
SEARCHES_RECEIVED_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_TO_SEARCHES_RECEIVED,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
IS_MORTGAGE_REQUIRED,VARCHAR(7),COLUMN,Y,,N,N,,,,
MORTGAGE_SUBMISSION_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_TO_MORTGAGE_SUBMISSION,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
MORTGAGE_BROKER_ID,VARCHAR(32),COLUMN,Y,,N,N,,,,
MORTGAGE_LENDER_ID,VARCHAR(32),COLUMN,Y,,N,N,,,,
MORTGAGE_SURVEYOR_ID,VARCHAR(32),COLUMN,Y,,N,N,,,,
IS_MORTGAGE_OFFER_RECEIVED,VARCHAR(6),COLUMN,Y,,N,N,,,,
MORTGAGE_OFFER_RECEIVED_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_TO_MORTGAGE_OFFER_RECEIVED,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
MORTGAGE_SURVEY_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_TO_MORTGAGE_SURVEY,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
IS_ADDITIONAL_SURVEY_REQUIRED,VARCHAR(7),COLUMN,Y,,N,N,,,,
ADDITIONAL_SURVEYOR_ID,VARCHAR(32),COLUMN,Y,,N,N,,,,
ADDITIONAL_SURVEY_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_TO_ADDITIONAL_SURVEY,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
IS_ADDITIONAL_SURVEY_COMPLETED,VARCHAR(6),COLUMN,Y,,N,N,,,,
IS_VENDOR_AUTHORISED_EXCHANGE,VARCHAR(6),COLUMN,Y,,N,N,,,,
VENDOR_AUTHORISED_EXCHANGE_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_TO_VENDOR_AUTHORISED_EXCHANGE,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
IS_BUYER_AUTHORISED_EXCHANGE,VARCHAR(6),COLUMN,Y,,N,N,,,,
BUYER_AUTHORISED_EXCHANGE_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_TO_BUYER_AUTHORISED_EXCHANGE,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
POTENTIAL_FEE,FLOAT,COLUMN,Y,,N,N,,,,
_CUSTOMER_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,
_LAST_SYNCH_AT,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,
